kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Lampung Utara,2020,84.83,67.67,23765.92,19.3,12.46,0.293
Way Kanan,2020,91.08,67.44,13985.52,12.9,10.19,0.347
Tulangbawang,2020,94.02,68.52,23082.16,9.33,11.17,0.339
Pesawaran,2020,83.23,65.79,16211.74,14.76,11.9,0.279
Pringsewu,2020,83.71,70.3,11166.16,9.97,15.23,0.165
Mesuji,2020,96.09,63.63,10390.75,7.33,12.27,0.355
Tulang Bawang Barat,2020,95.89,65.97,11420.34,7.39,14.32,0.309
Pesisir Barat,2020,97.85,63.91,4677.54,14.29,7.23,0.286
Kota Bandar Lampung,2020,84.26,77.44,58869.44,8.81,11.74,0.179
Kota Metro,2020,82.07,77.19,6289.54,8.47,11.54,0.139
Bangka,2020,101.43,72.4,13932.94,4.51,9.43,0.296
Belitung,2020,102.18,72.51,9826.82,6.27,8.12,0.293
Bangka Barat,2020,102.89,69.08,13414.98,2.7,11.7,0.342
Bangka Tengah,2020,101.22,70.45,8447.02,4.85,8.04,0.381
Bangka Selatan,2020,101.18,66.9,8679.07,3.52,9.32,0.478
Belitung Timur,2020,103.52,70.92,7833.74,6.52,9.71,0.292
Kota Pangkal Pinang,2020,100.94,78.22,13454.65,4.36,8.97,0.182
Karimun,2020,116.11,71.44,13310.63,6.83,9.74,0.216
Bintan,2020,112.37,74.13,20743.7,6.36,10.03,0.151
Natuna,2020,131.61,72.72,18405.91,4.43,11.39,0.323
Lingga,2020,122.86,65.29,4292.43,13.85,13.47,0.243
Kepulauan Anambas,2020,138.78,68.8,14453.58,6.56,7.24,0.272
Kota Batam,2020,115.75,81.11,161364.18,4.75,4.4,0.091
Kota Tanjung Pinang,2020,115.33,78.91,19665.01,9.37,6.07,0.14
Kep. Seribu,2020,128.37,71.63,6416.49,14.87,2.86,0.301
Kota Jakarta Selatan,2020,120.13,84.72,643561.85,3.43,1.5,0.123
Kota Jakarta Timur,2020,119.4,82.66,469995.03,4.16,2.18,0.131
Kota Jakarta Pusat,2020,108.34,81.39,700790.71,4.51,1.97,0.152
Kota Jakarta Barat,2020,110.79,81.38,469053.3,4.25,1.78,0.14
Kota Jakarta Utara,2020,115.15,80.29,496669.69,6.78,2.18,0.181
Bogor,2020,119.08,70.4,235887.26,7.69,4.06,0.324
Sukabumi,2020,99.24,66.88,67462.17,7.09,4.89,0.427
Cianjur,2020,98.69,65.36,47535.47,10.36,4.75,0.437
Bandung,2020,108.09,72.39,123602.78,6.91,5.07,0.323
Garut,2020,97.87,66.12,58043.17,9.98,4.06,0.434
Tasikmalaya,2020,100.47,65.67,37443.45,10.34,5.64,0.376
Ciamis,2020,97.29,70.49,31974.41,7.62,5.11,0.261
Kuningan,2020,98.53,69.38,25618.87,12.82,3.51,0.226
Cirebon,2020,101.26,68.75,49561.56,11.24,5.41,0.232
Majalengka,2020,99.66,67.59,32179.22,11.43,4.17,0.342
Sumedang,2020,101.49,71.64,35489.08,10.26,4.01,0.332
Indramayu,2020,106.79,67.29,79286.23,12.7,4.28,0.307
Subang,2020,100.3,68.95,40148.32,9.31,4.81,0.374
Purwakarta,2020,102.43,70.82,66971.59,8.27,4.08,0.31
Karawang,2020,100.9,70.66,223422.08,8.26,3.79,0.319
Bekasi,2020,112.65,74.07,317633.82,4.82,2.26,0.234
Bandung Barat,2020,108.4,68.08,46478.9,10.49,5.07,0.378
Pangandaran,2020,97.81,68.06,11498.23,8.99,4.39,0.322
Kota Bogor,2020,116.53,76.11,45911.86,6.68,2.95,0.179
Kota Sukabumi,2020,101.46,74.21,12401.54,7.7,3.65,0.201
Kota Bandung,2020,114.91,81.51,283626.74,3.99,2.82,0.186
Kota Cirebon,2020,98.52,74.89,23428.79,9.52,4.52,0.166
Kota Bekasi,2020,111.18,81.5,96492.28,4.38,1.33,0.187
Kota Depok,2020,118.2,80.97,70386.33,2.45,1.26,0.134
Kota Cimahi,2020,105.83,77.83,32210.68,5.11,2.66,0.133
Kota Tasikmalaya,2020,100.75,73.04,21589.36,12.97,4.17,0.23
