kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Probolinggo,2021,95.17,66.26,35605.52,18.91,11.96,0.54
Pasuruan,2021,101.56,68.93,157150.73,9.7,10.28,0.325
Sidoarjo,2021,110.65,80.65,210650.18,5.93,4.84,0.121
Mojokerto,2021,101.87,74.15,87145.02,10.62,6.6,0.249
Jombang,2021,100.69,73.45,41747.22,10.0,8.78,0.212
Nganjuk,2021,101.58,71.97,28053.33,11.85,9.65,0.216
Madiun,2021,100.66,71.88,20024.41,11.91,13.43,0.158
Magetan,2021,102.78,74.15,19587.87,10.66,10.51,0.159
Ngawi,2021,97.34,71.04,20814.46,15.57,12.23,0.207
Bojonegoro,2021,101.23,69.59,84200.91,13.27,9.96,0.281
Tuban,2021,102.72,68.91,65911.73,16.31,9.12,0.248
Lamongan,2021,106.3,73.12,41042.89,13.86,6.41,0.211
Gresik,2021,113.73,76.5,144656.07,12.42,4.59,0.177
Bangkalan,2021,106.63,64.36,24756.71,21.57,10.37,0.268
Sampang,2021,101.19,62.8,20638.85,23.76,10.81,0.345
Pamekasan,2021,105.66,66.4,17659.22,15.3,11.88,0.329
Sumenep,2021,108.63,67.04,35300.16,20.51,7.93,0.406
Kota Kediri,2021,96.43,78.6,141467.12,7.75,6.37,0.122
Kota Blitar,2021,96.32,78.98,7113.6,7.89,6.25,0.158
Kota Malang,2021,100.77,82.04,76617.34,4.62,6.04,0.135
Kota Probolinggo,2021,91.72,73.66,11699.9,7.44,5.46,0.255
Kota Pasuruan,2021,98.19,75.62,8491.13,6.88,5.84,0.156
Kota Mojokerto,2021,100.56,78.43,6935.63,6.39,6.13,0.122
Kota Madiun,2021,97.24,81.25,14435.43,5.09,5.05,0.064
Kota Surabaya,2021,107.49,82.31,590227.12,5.23,3.72,0.149
Kota Batu,2021,99.32,76.28,16841.14,4.09,5.98,0.25
Pandeglang,2021,87.54,65.17,29869.92,10.72,4.37,0.385
Lebak,2021,86.18,64.03,30830.2,10.29,3.87,0.436
Tangerang,2021,104.9,72.29,145283.68,7.12,2.65,0.237
Serang,2021,96.66,66.82,80231.26,5.49,3.03,0.29
Kota Tangerang,2021,105.17,78.5,150156.86,5.93,2.16,0.166
Kota Cilegon,2021,98.44,73.35,110495.0,4.24,2.46,0.197
Kota Serang,2021,98.15,72.44,33503.98,6.79,1.99,0.247
Kota Tangerang Selatan,2021,106.23,81.6,88065.8,2.57,1.89,0.162
Jembrana,2021,103.86,72.75,13510.63,5.06,9.9,0.266
Tabanan,2021,99.21,76.45,22021.14,5.12,6.35,0.15
Badung,2021,106.58,81.83,44882.08,2.62,4.48,0.119
Gianyar,2021,97.44,77.7,25788.23,4.85,3.92,0.148
Klungkung,2021,106.57,71.75,8534.43,5.64,10.9,0.179
Bangli,2021,106.29,69.37,6825.56,5.09,7.25,0.308
Karangasem,2021,101.91,67.36,16506.62,6.78,13.42,0.272
Buleleng,2021,100.39,72.56,33363.29,6.12,10.15,0.269
Kota Denpasar,2021,106.8,84.03,49686.63,2.96,5.79,0.147
Lombok Barat,2021,98.8,68.61,15407.27,14.47,2.32,0.376
Lombok Tengah,2021,102.1,66.72,17686.6,13.44,2.18,0.376
Lombok Timur,2021,105.61,66.66,21053.67,15.38,0.98,0.333
Sumbawa,2021,96.64,68.01,15021.4,13.91,1.96,0.217
Dompu,2021,101.44,68.45,7338.57,12.6,1.91,0.254
Bima,2021,107.49,66.66,11856.96,14.88,2.7,0.2
Sumbawa Barat,2021,100.01,71.85,23758.07,13.54,1.03,0.201
Lombok Utara,2021,97.38,64.77,4706.6,27.04,2.91,0.302
Kota Mataram,2021,103.75,79.14,19691.61,8.65,0.96,0.277
Kota Bima,2021,106.74,76.11,4300.61,8.88,0.94,0.166
Sumba Barat,2021,96.14,63.83,2416.82,28.39,8.0,0.184
Sumba Timur,2021,95.74,65.74,6406.5,29.68,10.04,0.232
Kupang,2021,83.75,64.41,7988.62,22.98,16.21,0.18
Timor Tengah Selatan,2021,91.57,62.16,8243.25,26.64,13.88,0.199
Timor Tengah Utara,2021,83.12,63.69,4222.7,22.62,10.42,0.268
Belu,2021,81.46,62.77,4699.02,15.68,11.47,0.218
Alor,2021,101.01,61.37,3166.96,21.09,11.98,0.199
Lembata,2021,100.28,64.75,1912.15,26.21,17.93,0.152
Flores Timur,2021,99.77,64.22,5380.27,11.14,16.21,0.183
Sikka,2021,88.62,65.41,5317.52,13.35,15.18,0.197
Ende,2021,89.25,67.3,6314.66,24.13,9.56,0.149
Ngada,2021,93.08,67.88,3578.33,12.58,7.49,0.147
Manggarai,2021,101.18,65.01,4810.27,20.48,8.84,0.173
Rote Ndao,2021,98.55,62.6,3279.26,28.08,16.2,0.265
Manggarai Barat,2021,100.14,64.17,3611.64,17.92,7.78,0.189
Sumba Tengah,2021,93.92,61.8,1230.4,34.27,9.72,0.132
Sumba Barat Daya,2021,94.4,62.29,3888.12,28.18,9.74,0.16
Nagekeo,2021,87.99,65.82,2347.31,12.91,12.03,0.114
Manggarai Timur,2021,100.39,61.37,3412.9,26.5,10.5,0.231
Sabu Raijua,2021,111.63,57.03,1450.94,30.13,9.23,0.271
Malaka,2021,81.0,60.42,2929.9,16.33,13.77,0.228
Kota Kupang,2021,92.44,79.74,24410.23,9.17,10.66,0.117
Sambas,2021,110.05,67.1,22293.19,7.66,21.96,0.239
Bengkayang,2021,110.39,68.04,9318.53,6.48,17.95,0.29
Landak,2021,113.52,66.21,11614.17,10.99,20.44,0.395
Mempawah,2021,106.1,66.03,9084.51,5.18,23.22,0.312
Sanggau,2021,114.48,66.2,21678.77,4.55,22.76,0.368
Ketapang,2021,105.43,67.43,30911.32,10.13,19.21,0.346
Sintang,2021,118.51,66.93,15749.08,9.28,20.32,0.405
Kapuas Hulu,2021,124.26,65.75,11071.94,8.93,21.19,0.44
Sekadau,2021,107.42,64.93,7132.69,6.26,23.77,0.421
Melawi,2021,116.18,65.87,5626.6,12.01,21.08,0.466
Kayong Utara,2021,113.27,62.9,4534.09,9.33,15.79,0.354
Kubu Raya,2021,104.42,68.16,31227.44,4.34,22.08,0.289
Kota Pontianak,2021,104.09,79.93,40202.36,4.58,12.54,0.186
Kota Singkawang,2021,114.12,72.11,10877.85,4.83,11.21,0.25
Kotawaringin Barat,2021,101.01,73.07,23708.75,3.95,7.01,0.339
Kotawaringin Timur,2021,97.65,71.38,29678.17,5.91,8.32,0.386
Kapuas,2021,95.99,69.63,18695.94,5.35,14.48,0.406
Barito Selatan,2021,94.82,70.54,6681.13,4.62,9.31,0.396
Barito Utara,2021,100.82,70.79,10565.23,5.61,9.61,0.362
Sukamara,2021,110.98,68.27,4943.67,3.66,6.66,0.388
Lamandau,2021,108.86,70.58,6566.59,3.56,5.74,0.383
Seruyan,2021,107.28,67.67,9890.07,7.22,7.18,0.419
Katingan,2021,96.5,68.89,9040.86,5.25,6.54,0.379
Pulang Pisau,2021,97.65,68.53,5969.7,4.24,8.98,0.392
Gunung Mas,2021,106.23,71.03,7173.23,5.35,5.53,0.423
Barito Timur,2021,97.17,71.47,7949.95,6.38,10.55,0.339
Murung Raya,2021,111.12,68.12,8917.59,6.15,11.29,0.472
Kota Palangka Raya,2021,96.78,80.82,19649.17,3.75,7.89,0.224
Tanah Laut,2021,92.93,69.87,15332.87,4.57,2.71,0.342
Kotabaru,2021,97.21,69.13,26492.46,4.86,2.39,0.429
Banjar,2021,97.78,69.89,17934.87,3.04,2.81,0.373
Barito Kuala,2021,102.36,66.64,9174.92,5.11,3.52,0.275
Tapin,2021,98.09,70.31,9387.41,3.6,2.82,0.364
Hulu Sungai Selatan,2021,98.22,69.21,7125.71,4.84,3.7,0.328
Hulu Sungai Tengah,2021,99.14,69.05,7393.86,6.18,4.52,0.263
Hulu Sungai Utara,2021,100.22,66.12,5253.45,6.83,4.23,0.33
Tabalong,2021,104.97,72.6,19939.94,6.27,2.26,0.298
Tanah Bumbu,2021,96.92,71.0,22664.05,4.82,2.01,0.421
Balangan,2021,107.35,69.11,12361.61,6.07,2.96,0.395
Kota Banjarmasin,2021,99.72,77.57,34596.06,4.89,2.11,0.206
Kota Banjar Baru,2021,96.21,79.26,10003.08,4.4,2.13,0.206
Paser,2021,105.15,72.93,53888.95,9.73,15.37,0.337
Kutai Barat,2021,116.95,72.07,32093.14,10.24,14.2,0.416
Kutai Kartanegara,2021,106.12,74.06,177416.58,7.99,14.41,0.294
Kutai Timur,2021,110.05,73.81,136617.57,9.81,10.9,0.371
Berau,2021,105.74,75.2,43036.48,5.88,12.3,0.308
Penajam Paser Utara,2021,106.12,72.01,10089.91,7.61,16.6,0.333
Mahakam Ulu,2021,136.9,67.95,2972.87,11.9,10.76,0.337
Kota Balikpapan,2021,104.41,80.71,111400.69,2.89,8.3,0.131
Kota Samarinda,2021,104.32,80.76,71170.55,4.99,13.51,0.224
Kota Bontang,2021,106.13,80.59,57948.13,4.62,9.84,0.218
Malinau,2021,100.28,72.32,12858.77,7.3,16.35,0.375
Bulungan,2021,103.03,71.8,20239.9,10.03,13.63,0.293
Tana Tidung,2021,104.13,67.76,6734.16,5.15,12.2,0.341
Nunukan,2021,117.14,66.46,29773.28,6.79,16.8,0.352
Kota Tarakan,2021,106.19,76.23,41858.3,6.71,8.17,0.221
Bolaang Mongondow,2021,97.34,68.16,8970.18,7.58,7.25,0.38
Minahasa,2021,102.26,75.73,18643.14,7.67,7.32,0.335
Kepulauan Sangihe,2021,116.34,71.07,4791.11,11.02,10.22,0.223
Kepulauan Talaud,2021,131.52,69.83,2421.88,9.0,5.88,0.252
Minahasa Selatan,2021,99.65,72.32,9581.83,9.37,9.48,0.312
Minahasa Utara,2021,103.83,74.11,15699.37,7.11,6.91,0.289
Bolaang Mongondow Utara,2021,92.99,67.39,2727.97,8.03,6.26,0.383
Siau Tagulandang Biaro,2021,116.6,68.05,2626.95,8.94,9.55,0.236
Minahasa Tenggara,2021,97.78,71.06,5623.63,12.47,8.0,0.387
Bolaang Mongondow Selatan,2021,98.76,65.42,2296.39,12.85,8.4,0.38
Bolaang Mongondow Timur,2021,103.83,66.55,3246.5,6.1,6.92,0.432
Kota Manado,2021,110.89,79.2,39531.0,6.19,5.26,0.177
Kota Bitung,2021,99.09,74.2,18677.63,6.43,5.28,0.299
Kota Tomohon,2021,101.01,76.86,4586.61,5.69,5.43,0.267
Kota Kotamobagu,2021,100.79,73.47,4032.38,5.74,5.37,0.27
Banggai Kepulauan,2021,97.27,65.61,4130.12,13.72,16.14,0.387
Banggai,2021,95.64,70.6,30825.09,7.83,11.91,0.368
Morowali,2021,92.67,72.29,98916.81,13.75,7.03,0.348
Poso,2021,88.74,71.45,9931.43,15.92,9.29,0.327
Donggala,2021,86.54,65.72,12558.32,16.73,9.96,0.36
Toli-Toli,2021,90.38,66.3,8901.21,13.51,14.3,0.356
Buol,2021,90.8,68.25,6133.1,14.06,10.44,0.292
Parigi Moutong,2021,84.69,65.82,18438.95,15.28,10.63,0.379
Tojo Una-Una,2021,88.94,64.74,5938.99,16.6,9.61,0.383
Sigi,2021,81.71,68.49,9728.38,13.05,12.56,0.354
Banggai Laut,2021,105.13,65.65,2525.76,14.17,11.91,0.395
Morowali Utara,2021,95.7,68.48,13097.89,13.9,8.75,0.298
Kota Palu,2021,81.17,81.7,26170.66,7.17,7.28,0.265
Kepulauan Selayar,2021,104.21,67.76,6835.4,12.45,9.72,0.254
Bulukumba,2021,93.87,69.62,15868.86,7.43,10.64,0.29
Bantaeng,2021,91.4,68.99,10081.4,9.41,8.0,0.294
Jeneponto,2021,96.49,64.56,11053.25,14.28,11.28,0.345
Takalar,2021,89.07,67.72,11126.11,8.25,10.07,0.263
Gowa,2021,93.12,70.29,23536.84,7.54,7.7,0.3
Sinjai,2021,88.71,67.75,12297.08,8.84,7.43,0.273
Maros,2021,90.76,70.41,19005.61,9.57,6.27,0.285
Pangkajene dan Kepulauan,2021,93.06,69.21,27574.74,14.28,6.6,0.284
Barru,2021,89.74,71.13,8057.26,8.68,10.39,0.262
Bone,2021,95.2,66.4,39369.96,10.52,12.09,0.336
Soppeng,2021,94.44,68.99,12426.78,7.53,14.61,0.3
Wajo,2021,101.61,69.62,22319.74,6.46,8.81,0.3
Sidenreng Rappang,2021,95.38,71.54,15250.13,5.04,6.33,0.226
Pinrang,2021,90.83,71.45,21758.58,8.81,8.12,0.256
Enrekang,2021,100.79,72.91,8204.11,12.47,7.85,0.202
Luwu,2021,101.1,70.85,17839.99,12.53,7.76,0.26
Tana Toraja,2021,104.99,69.49,8087.09,12.27,8.43,0.268
Luwu Utara,2021,100.53,70.02,14408.38,13.59,8.53,0.369
Luwu Timur,2021,106.8,73.34,23614.52,6.94,7.0,0.311
Toraja Utara,2021,104.19,69.75,10344.3,11.99,6.28,0.253
Kota Makasar,2021,100.0,82.66,190318.07,4.82,4.35,0.203
Kota Parepare,2021,98.92,78.21,7826.24,5.4,3.92,0.192
Kota Palopo,2021,102.74,78.38,8714.31,8.14,3.69,0.232
Buton,2021,106.92,66.32,4036.29,13.92,13.16,0.315
Muna,2021,99.87,69.17,7365.51,13.54,13.86,0.249
Konawe,2021,93.92,71.48,11542.29,13.03,9.37,0.398
Kolaka,2021,92.5,73.56,27532.65,12.43,11.37,0.363
Konawe Selatan,2021,93.12,68.58,12654.68,11.34,10.63,0.411
Bombana,2021,97.4,66.25,6913.33,10.76,10.75,0.396
Wakatobi,2021,106.09,69.87,4708.75,14.91,12.28,0.346
Kolaka Utara,2021,94.64,69.5,9186.74,13.79,8.61,0.397
Buton Utara,2021,104.98,68.08,3420.72,14.89,13.3,0.381
Konawe Utara,2021,94.94,70.23,4262.56,14.32,9.1,0.408
Kolaka Timur,2021,90.77,67.76,4834.05,14.35,10.88,0.411
Konawe Kepulauan,2021,96.41,65.73,1467.82,17.81,12.37,0.295
Muna Barat,2021,98.18,65.48,2789.51,13.96,13.29,0.309
Buton Tengah,2021,113.86,64.55,2536.1,15.8,17.56,0.351
Buton Selatan,2021,115.29,64.99,2993.97,14.62,9.88,0.262
Kota Kendari,2021,90.06,84.15,23691.31,4.87,7.66,0.205
Kota Baubau,2021,105.17,76.26,9627.57,7.78,13.05,0.296
Boalemo,2021,97.08,66.42,5732.84,19.0,17.47,0.405
Gorontalo,2021,94.84,67.34,13713.96,17.89,14.97,0.349
Pohuwato,2021,93.86,65.8,7055.55,18.08,15.32,0.425
Bone Bolango,2021,95.43,70.25,4875.94,16.3,13.25,0.297
Gorontalo Utara,2021,95.81,65.21,3592.42,17.23,15.77,0.343
Kota Gorontalo,2021,93.45,77.41,8987.56,5.93,12.96,0.153
Majene,2021,83.89,67.29,5204.36,14.34,9.86,0.276
Polewali Mandar,2021,81.41,64.23,13812.49,15.68,12.97,0.333
Mamasa,2021,108.6,66.63,3126.92,13.77,15.41,0.32
Mamuju,2021,89.44,68.32,12421.12,7.46,10.41,0.434
Mamuju Utara / Pasangkayu,2021,97.31,68.03,12386.47,4.77,5.38,0.425
Mamuju Tengah,2021,86.39,66.18,3557.87,7.13,7.83,0.339
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,136.1,62.97,2868.14,27.27,35.01,0.24
Maluku Tenggara,2021,127.19,66.33,3431.33,22.73,32.05,0.193
Maluku Tengah,2021,120.09,71.32,9108.38,19.84,35.1,0.219
Buru,2021,120.36,69.33,2525.76,17.28,30.87,0.282
Kepulauan Aru,2021,126.18,63.83,3669.83,26.53,31.1,0.212
Seram Bagian Barat,2021,117.23,65.83,3173.04,25.27,39.2,0.23
Seram Bagian Timur,2021,121.58,64.3,3177.71,23.25,35.93,0.246
Maluku Barat Daya,2021,138.15,62.37,1989.2,29.55,25.98,0.177
Buru Selatan,2021,130.22,64.8,1488.38,15.89,40.88,0.262
Kota Ambon,2021,109.64,81.23,15574.08,5.02,16.23,0.129
Kota Tual,2021,126.78,68.16,2623.26,23.26,26.57,0.219
Halmahera Barat,2021,108.7,65.56,2347.23,8.95,34.62,0.355
Halmahera Tengah,2021,115.62,65.82,9667.27,13.52,27.03,0.339
Kepulauan Sula,2021,112.49,63.8,2598.53,8.23,42.17,0.24
Halmahera Selatan,2021,113.87,64.19,10923.68,5.19,30.8,0.35
Halmahera Utara,2021,110.54,67.82,6005.64,5.22,29.93,0.353
Halmahera Timur,2021,112.32,67.0,3930.32,15.04,33.37,0.404
Pulau Morotai,2021,108.6,62.9,1641.95,6.52,28.87,0.351
Pulau Taliabu,2021,113.65,60.73,1717.57,7.49,49.84,0.377
Kota Ternate,2021,120.21,80.14,10970.17,3.55,13.6,0.22
Kota Tidore Kepulauan,2021,107.69,70.99,3028.3,6.58,21.58,0.221
Fakfak,2021,135.74,68.52,5340.48,22.86,20.43,0.261
Kaimana,2021,118.86,65.31,2672.4,16.04,25.86,0.207
Teluk Wondama,2021,124.49,60.33,1559.35,31.61,20.26,0.312
Teluk Bintuni,2021,147.41,64.65,31380.55,29.79,20.11,0.31
Manokwari,2021,119.59,72.02,9834.86,20.56,28.74,0.33
Manokwari Selatan,2021,130.44,59.85,859.47,29.3,26.34,0.312
Pegunungan Arfak,2021,167.64,56.13,242.96,34.7,54.25,0.446
Raja Ampat,2021,131.59,63.92,3434.84,17.5,29.44,0.31
Sorong,2021,116.23,65.77,11236.7,27.78,25.44,0.318
Sorong Selatan,2021,138.18,62.46,1965.13,18.55,31.62,0.275
Maybrat,2021,131.92,59.7,751.29,31.39,22.18,0.279
Tambrauw,2021,128.54,53.71,243.69,33.86,36.61,0.267
Kota Sorong,2021,115.79,78.49,15596.71,15.35,17.61,0.235
Jayapura,2021,121.79,72.03,17044.82,12.13,29.83,0.296
Kepulauan Yapen,2021,136.06,67.72,4417.42,26.09,35.84,0.231
Biak Numfor,2021,125.74,72.33,5497.7,24.45,36.62,0.22
Sarmi,2021,139.46,63.94,3103.77,13.84,51.06,0.204
Keerom,2021,127.56,66.49,3058.09,16.0,51.04,0.288
Waropen,2021,148.22,65.1,2113.02,29.85,33.2,0.278
Supiori,2021,139.26,62.72,1087.28,37.91,29.63,0.249
Mamberamo Raya,2021,171.96,52.18,1825.88,28.78,38.99,0.336
Kota Jayapura,2021,120.57,80.11,33137.9,11.39,18.46,0.232
Merauke,2021,148.88,70.49,16395.8,10.16,27.39,0.344
Boven Digoel,2021,157.75,61.62,4938.65,19.9,43.21,0.297
Mappi,2021,155.91,58.7,3108.44,26.05,56.26,0.4
Asmat,2021,169.93,51.29,2694.79,24.83,39.37,0.308
Mimika,2021,131.79,74.48,95221.05,14.17,27.33,0.298
Dogiyai,2021,212.94,55.0,1411.06,28.81,79.67,0.336
Deiyai,2021,238.23,49.96,1491.31,40.59,63.65,0.082
Nabire,2021,131.74,69.15,11926.43,23.83,23.86,0.317
Paniai,2021,235.44,56.7,4436.87,36.59,62.78,0.298
Intan Jaya,2021,447.97,48.34,1300.3,41.66,47.98,0.487
Puncak,2021,478.12,43.17,1513.26,36.26,34.54,0.345
Puncak Jaya,2021,446.4,48.99,1406.07,36.0,23.41,0.178
Nduga,2021,294.92,32.84,1345.72,37.18,7.49,0.255
Jayawijaya,2021,288.05,58.67,8438.72,37.09,37.39,0.158
Lanny Jaya,2021,320.1,48.68,2020.05,38.73,24.85,0.164
Tolikara,2021,340.56,49.6,1715.52,32.6,59.49,0.131
Mamberamo Tengah,2021,373.08,48.32,1261.73,28.78,51.0,0.152
Yalimo,2021,333.99,49.01,1354.41,33.25,29.08,0.189
Yahukimo,2021,181.94,49.48,2620.74,37.64,54.35,0.389
Pegunungan Bintang,2021,360.05,46.28,2079.57,30.46,43.62,0.379
Simeulue,2022,108.46,67.27,2688.03,18.37,15.8,0.221
Aceh Singkil,2022,103.49,69.62,3004.57,19.18,9.8,0.311
Aceh Selatan,2022,98.46,67.87,6446.52,12.43,16.02,0.195
Aceh Tenggara,2022,98.23,70.32,5828.69,12.83,13.69,0.231
Aceh Timur,2022,102.67,68.72,13101.06,13.91,9.05,0.241
Aceh Tengah,2022,107.2,73.95,8873.41,14.5,10.0,0.259
Aceh Barat,2022,96.43,72.34,12730.16,17.93,6.55,0.195
Aceh Besar,2022,96.54,74.0,15456.86,13.38,10.46,0.185
Pidie,2022,94.63,71.2,12412.37,18.79,11.0,0.132
Bireuen,2022,101.28,73.16,15469.56,12.51,6.78,0.168
Aceh Utara,2022,103.63,70.22,28175.46,16.86,17.02,0.22
Aceh Barat Daya,2022,93.69,67.41,4546.36,15.44,12.82,0.256
Gayo Lues,2022,107.09,68.25,3076.5,18.87,8.27,0.308
Aceh Tamiang,2022,98.08,70.43,10433.25,12.61,15.13,0.21
Nagan Raya,2022,99.97,70.1,10642.66,17.38,5.95,0.288
Aceh Jaya,2022,93.73,70.36,3121.53,12.51,9.33,0.36
Bener Meriah,2022,101.26,73.9,5476.17,18.39,9.27,0.212
Pidie Jaya,2022,101.86,74.34,3980.18,18.45,7.78,0.146
Kota Banda Aceh,2022,101.54,86.28,21560.51,7.13,6.29,0.072
Kota Sabang,2022,107.84,76.85,1642.78,14.66,8.4,0.168
Kota Langsa,2022,99.99,77.82,6263.28,10.62,11.87,0.15
Kota Lhokseumawe,2022,106.36,78.04,10277.63,10.84,12.84,0.182
Kota Subulussalam,2022,93.49,66.2,2364.9,16.94,10.19,0.355
Nias,2022,110.37,63.69,4536.22,16.0,9.53,0.269
Mandailing Natal,2022,98.8,68.05,16403.53,8.92,7.83,0.234
Tapanuli Selatan,2022,100.39,70.92,17051.89,8.07,7.14,0.152
Tapanuli Tengah,2022,106.31,70.31,11635.3,11.71,8.84,0.14
Tapanuli Utara,2022,101.03,74.14,9645.64,8.93,6.83,0.084
Toba Samosir / Toba,2022,104.19,75.96,8943.89,8.89,5.56,0.072
Labuhan Batu,2022,104.32,72.92,41809.01,8.26,9.91,0.199
Asahan,2022,98.34,71.13,46575.32,8.64,7.66,0.157
Simalungun,2022,102.16,73.77,47285.89,8.26,10.17,0.151
Dairi,2022,107.76,72.56,10716.94,7.88,6.66,0.068
Karo,2022,107.48,75.36,23975.57,8.17,6.42,0.145
Deli Serdang,2022,98.06,76.19,127546.55,3.62,10.32,0.149
Langkat,2022,101.33,71.86,51412.76,9.49,10.74,0.221
Nias Selatan,2022,114.04,63.17,8014.5,16.48,13.08,0.305
Humbang Hasundutan,2022,103.8,70.32,6919.49,8.86,6.88,0.096
Pakpak Bharat,2022,104.46,68.85,1393.58,8.66,5.46,0.109
Samosir,2022,107.4,71.67,5166.25,11.77,5.95,0.069
Serdang Bedagai,2022,99.24,71.21,33517.99,7.82,9.64,0.173
Batu Bara,2022,94.49,69.51,40866.72,11.53,7.04,0.215
Padang Lawas Utara,2022,99.67,70.93,14375.3,8.94,5.21,0.22
Padang Lawas,2022,99.71,69.58,14586.76,8.05,5.11,0.276
Labuhan Batu Selatan,2022,106.34,72.16,34154.82,8.09,6.73,0.192
Labuhan Batu Utara,2022,104.35,72.77,30282.5,9.09,7.58,0.23
Nias Utara,2022,112.31,63.75,4172.94,23.4,10.69,0.268
Nias Barat,2022,112.36,62.93,2172.73,24.75,10.44,0.21
Kota Sibolga,2022,109.58,74.74,6340.37,11.47,7.08,0.13
Kota Tanjung Balai,2022,101.77,69.86,10466.14,12.45,7.14,0.204
Kota Pematang Siantar,2022,96.49,79.7,15208.31,7.88,9.75,0.079
Kota Tebing Tinggi,2022,101.32,76.17,6931.27,9.59,10.52,0.111
Kota Medan,2022,100.75,81.76,280159.04,8.07,7.86,0.089
Kota Binjai,2022,93.39,76.95,13315.95,5.1,11.07,0.14
Kota Padangsidimpuan,2022,103.61,76.05,7384.96,6.89,7.92,0.112
Kota Gunungsitoli,2022,110.66,70.23,6476.83,14.81,8.92,0.173
Kepulauan Mentawai,2022,129.04,62.19,5445.7,13.97,11.19,0.359
Pesisir Selatan,2022,96.46,70.84,16606.49,7.11,6.49,0.201
Solok,2022,99.75,70.02,15781.14,7.12,7.07,0.222
Sijunjung,2022,95.38,68.69,10668.55,6.0,6.69,0.327
Tanah Datar,2022,94.48,73.29,15059.26,4.26,7.38,0.124
Padang Pariaman,2022,91.58,71.63,22193.35,6.25,6.95,0.11
Agam,2022,93.78,73.29,23924.34,6.22,9.05,0.095
Lima Puluh Kota,2022,96.08,70.28,17900.61,6.59,7.24,0.26
Pasaman,2022,94.03,67.41,10390.58,6.85,8.86,0.226
Solok Selatan,2022,96.06,69.71,6430.74,6.51,8.04,0.251
Dharmasraya,2022,98.17,72.3,12233.47,5.56,6.65,0.263
Pasaman Barat,2022,99.72,69.57,17875.83,6.93,6.47,0.224
Kota Padang,2022,96.63,83.29,72978.95,4.26,6.81,0.077
Kota Solok,2022,95.89,79.23,4793.15,3.02,5.7,0.106
Kota Sawah Lunto,2022,98.87,73.73,4389.76,2.28,9.22,0.135
Kota Padang Panjang,2022,96.14,78.78,4086.55,5.14,7.13,0.142
Kota Bukittinggi,2022,98.41,81.42,10194.02,4.46,8.1,0.037
Kota Payakumbuh,2022,94.04,79.53,8250.3,5.66,6.7,0.097
Kota Pariaman,2022,95.75,77.65,5881.85,4.13,7.55,0.064
Kuantan Singingi,2022,90.52,71.09,44909.8,8.24,15.8,0.286
Indragiri Hulu,2022,100.37,70.46,54184.75,6.14,15.22,0.293
Indragiri Hilir,2022,99.46,67.37,83163.75,5.98,22.03,0.32
Pelalawan,2022,98.78,72.93,65553.21,8.97,14.42,0.26
Siak,2022,99.2,74.5,106995.07,5.07,13.07,0.142
Kampar,2022,96.84,73.84,103549.57,7.12,14.69,0.225
Rokan Hulu,2022,94.25,70.31,49107.08,9.95,14.58,0.269
Bengkalis,2022,101.05,74.38,175972.46,6.32,15.75,0.14
Rokan Hilir,2022,103.94,70.1,96084.45,6.73,15.93,0.258
Kepulauan Meranti,2022,108.78,66.52,24921.48,23.84,18.81,0.174
Kota Pekanbaru,2022,96.18,82.06,144559.27,3.06,11.81,0.09
Kota Dumai,2022,102.39,75.26,45052.81,3.2,12.58,0.131
Kerinci,2022,103.14,71.99,12225.79,7.57,11.89,0.328
Merangin,2022,90.52,69.98,20284.59,8.7,13.28,0.412
Sarolangun,2022,91.4,70.89,20820.78,8.48,11.15,0.355
Batang Hari,2022,94.8,70.51,24307.96,9.63,13.45,0.332
Muaro Jambi,2022,97.5,70.18,32959.04,4.47,10.92,0.251
Tanjung Jabung Timur,2022,101.8,65.77,25606.55,10.91,11.31,0.375
Tanjung Jabung Barat,2022,105.39,68.79,50082.77,10.0,13.34,0.311
Tebo,2022,94.4,69.78,19698.96,6.34,13.52,0.393
Bungo,2022,93.88,70.55,24909.94,5.38,10.7,0.437
Kota Jambi,2022,94.22,79.58,36188.04,8.33,11.57,0.081
Kota Sungai Penuh,2022,99.44,76.17,8680.47,2.97,14.21,0.219
Ogan Komering Ulu,2022,83.43,70.24,17613.75,11.61,6.83,0.329
Ogan Komering Ilir,2022,95.08,68.02,39404.79,13.23,6.45,0.387
Muara Enim,2022,98.06,69.43,113577.46,11.12,6.84,0.351
Lahat,2022,86.89,68.4,27834.48,15.61,7.72,0.269
Musi Rawas,2022,91.98,67.78,22342.12,13.34,8.67,0.358
Musi Banyuasin,2022,96.79,68.6,82431.54,15.19,6.21,0.382
Banyu Asin,2022,94.37,67.93,34142.57,10.0,5.49,0.287
Ogan Komering Ulu Selatan,2022,90.29,65.87,10328.5,10.56,11.33,0.339
Ogan Komering Ulu Timur,2022,93.59,70.23,17832.84,10.05,8.6,0.364
Ogan Ilir,2022,92.37,67.96,13245.82,12.33,6.95,0.304
Empat Lawang,2022,88.15,66.0,5823.97,12.03,11.49,0.323
Penukal Abab Lematang Ilir,2022,95.64,65.75,8194.74,11.76,9.25,0.456
