kabupaten,tahun,prediksi_indeks_pembangunan_manusia
Sumba Barat Daya,2022,67.2945018494936
Nagekeo,2022,71.89640140714397
Manggarai Timur,2022,65.37538160026025
Sabu Raijua,2022,61.80456604196528
Malaka,2022,68.997129519565
Kota Kupang,2022,76.50638303900278
Sambas,2022,72.15906930325778
Bengkayang,2022,70.30773968281905
Landak,2022,65.99086605414337
Mempawah,2022,70.56137435300197
Sanggau,2022,70.37890376104069
Ketapang,2022,69.15842109592842
Sintang,2022,66.41371905960642
Kapuas Hulu,2022,64.86883328015611
Sekadau,2022,66.88744028902833
Melawi,2022,62.45756291651831
Kayong Utara,2022,66.3424660573197
Kubu Raya,2022,73.78273847395344
Kota Pontianak,2022,76.4892584410299
Kota Singkawang,2022,72.39593054858561
Kotawaringin Barat,2022,72.4172184273856
Kotawaringin Timur,2022,70.19367992582715
Kapuas,2022,69.76166943421637
Barito Selatan,2022,69.05702015396393
Barito Utara,2022,69.87982111397635
Sukamara,2022,68.59888964875829
Lamandau,2022,69.77423776068431
Seruyan,2022,66.51753424337772
Katingan,2022,69.36468410508824
Pulang Pisau,2022,68.96665671987809
Gunung Mas,2022,66.68350655325764
Barito Timur,2022,70.02043756894733
Murung Raya,2022,65.64121093003087
Kota Palangka Raya,2022,75.869679240201
Tanah Laut,2022,72.52121822280972
Kotabaru,2022,70.84472535058163
Banjar,2022,73.0727864040606
Barito Kuala,2022,71.71138603791412
Tapin,2022,71.3440064394407
Hulu Sungai Selatan,2022,70.92349789143297
Hulu Sungai Tengah,2022,71.63657976330441
Hulu Sungai Utara,2022,69.05093378793254
Tabalong,2022,72.03654275371468
Tanah Bumbu,2022,71.0288574626559
Balangan,2022,69.0229426946285
Kota Banjarmasin,2022,75.31147195933785
Kota Banjar Baru,2022,74.61739127957375
Paser,2022,70.0771092983565
Kutai Barat,2022,66.21133445067451
Kutai Kartanegara,2022,73.36439414764835
Kutai Timur,2022,69.91020373327216
Berau,2022,72.10674808855231
Penajam Paser Utara,2022,68.17625993384324
Mahakam Ulu,2022,62.159264871025485
Kota Balikpapan,2022,80.81067649026878
Kota Samarinda,2022,75.76074124469224
Kota Bontang,2022,75.10070588659444
Malinau,2022,69.76690156862458
Bulungan,2022,70.3222153329076
Tana Tidung,2022,70.63654101095301
Nunukan,2022,70.15086202419897
Kota Tarakan,2022,74.13239819630893
Bolaang Mongondow,2022,68.60652225139005
Minahasa,2022,70.17945480668612
Kepulauan Sangihe,2022,68.39342878892136
Kepulauan Talaud,2022,66.83080111300728
Minahasa Selatan,2022,69.15768904552273
Minahasa Utara,2022,70.33245196788813
Bolaang Mongondow Utara,2022,67.07216555420011
Siau Tagulandang Biaro,2022,68.18412912941983
Minahasa Tenggara,2022,65.97031071055551
Bolaang Mongondow Selatan,2022,64.46269628788724
Bolaang Mongondow Timur,2022,65.89645808661987
Kota Manado,2022,75.04705504359116
Kota Bitung,2022,71.6771991963826
Kota Tomohon,2022,71.17492019426729
Kota Kotamobagu,2022,70.90639618574511
Banggai Kepulauan,2022,65.18292770360608
Banggai,2022,71.10253878507396
Morowali,2022,70.35143543589656
Poso,2022,67.89353132267362
Donggala,2022,67.44551559714607
Toli-Toli,2022,67.21523562034463
Buol,2022,68.17899443259395
Parigi Moutong,2022,67.70113569165716
Tojo Una-Una,2022,65.5519487629175
Sigi,2022,68.86555536865193
Banggai Laut,2022,63.38727314433495
Morowali Utara,2022,68.54102489080721
Kota Palu,2022,74.34130736365479
Kepulauan Selayar,2022,68.4018673568872
Bulukumba,2022,72.14455304591355
Bantaeng,2022,70.80889766115561
Jeneponto,2022,67.4307089409283
Takalar,2022,72.1521558920161
Gowa,2022,72.20652695317227
Sinjai,2022,71.69583636481839
Maros,2022,71.77890990078795
Pangkajene dan Kepulauan,2022,70.66924028560592
Barru,2022,71.7740685225879
Bone,2022,70.15567831148897
Soppeng,2022,71.42383681327361
Wajo,2022,72.07450282517541
Sidenreng Rappang,2022,75.03044023748704
Pinrang,2022,72.68232039921985
Enrekang,2022,70.66814087545848
Luwu,2022,70.26782436068197
Tana Toraja,2022,68.11437423807567
Luwu Utara,2022,66.70818521208119
Luwu Timur,2022,70.87468274521473
Toraja Utara,2022,69.31012803613278
Kota Makasar,2022,78.43119076116245
Kota Parepare,2022,74.20700443764183
Kota Palopo,2022,71.33344220789608
Buton,2022,65.67703133828107
Muna,2022,69.07286397222028
Konawe,2022,67.17104775727934
Kolaka,2022,69.21491878147407
Konawe Selatan,2022,67.07258177583033
Bombana,2022,66.38452046322104
Wakatobi,2022,64.87755744339466
Kolaka Utara,2022,66.50969624945434
Buton Utara,2022,63.4726555556321
Konawe Utara,2022,64.48208221909454
Kolaka Timur,2022,65.146754307442
Konawe Kepulauan,2022,65.14265875204174
Muna Barat,2022,66.02727832887474
Buton Tengah,2022,63.20412771825249
Buton Selatan,2022,65.82679880887085
Kota Kendari,2022,76.76833569542168
Kota Baubau,2022,70.10120223887694
Boalemo,2022,63.20209539379364
Gorontalo,2022,66.9303669702504
Pohuwato,2022,63.78590692450494
Bone Bolango,2022,66.7375791906136
Gorontalo Utara,2022,64.57970054446868
Kota Gorontalo,2022,75.59083236419944
Majene,2022,69.21610705942211
Polewali Mandar,2022,68.92091799710599
Mamasa,2022,65.3851814852289
Mamuju,2022,68.50350121556357
Mamuju Utara / Pasangkayu,2022,69.74948442633347
Mamuju Tengah,2022,69.77683760897983
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,63.38689259498178
Maluku Tenggara,2022,65.90783984865433
Maluku Tengah,2022,68.27885842625989
Buru,2022,65.29613381631441
Kepulauan Aru,2022,65.29367871373944
Seram Bagian Barat,2022,65.6248050370575
Seram Bagian Timur,2022,65.55714157318717
Maluku Barat Daya,2022,63.486679934414816
Buru Selatan,2022,64.93165177162622
Kota Ambon,2022,76.65745620148374
Kota Tual,2022,65.0034308611578
Halmahera Barat,2022,65.40167786109369
Halmahera Tengah,2022,66.90853451180624
Kepulauan Sula,2022,68.18547502999984
Halmahera Selatan,2022,70.01104571053743
Halmahera Utara,2022,69.56787644662023
Halmahera Timur,2022,63.830368340530455
Pulau Morotai,2022,66.8865520750704
Pulau Taliabu,2022,64.89143460311263
Kota Ternate,2022,74.24513235454869
Kota Tidore Kepulauan,2022,70.25478057407979
Fakfak,2022,64.00698249396594
Kaimana,2022,66.06454677414541
Teluk Wondama,2022,59.84273696217424
Teluk Bintuni,2022,61.935494758172275
Manokwari,2022,63.93671920006724
Manokwari Selatan,2022,57.9889829434915
Pegunungan Arfak,2022,51.06913767534727
Raja Ampat,2022,62.85492793428277
Sorong,2022,62.92340803406133
Sorong Selatan,2022,63.02018489251999
Maybrat,2022,58.513137142499566
Tambrauw,2022,56.95866488192798
Kota Sorong,2022,67.79328238781655
Jayapura,2022,67.315544012892
Kepulauan Yapen,2022,62.811803784617595
Biak Numfor,2022,63.57746874130432
Sarmi,2022,64.68203257032208
Keerom,2022,62.340874855375105
Waropen,2022,59.42255919061439
Supiori,2022,57.941219147296906
Mamberamo Raya,2022,54.97239180065924
Kota Jayapura,2022,69.16039778844659
Merauke,2022,64.85158636750272
Boven Digoel,2022,61.6460905936534
Mappi,2022,56.768062372843175
Asmat,2022,59.00762600752853
Mimika,2022,68.81015503269921
Dogiyai,2022,54.02053313775717
Deiyai,2022,57.846560088354764
Nabire,2022,62.36464973174023
Paniai,2022,54.71329367223928
Intan Jaya,2022,40.95287130886294
Puncak,2022,44.8945529202003
Puncak Jaya,2022,49.91924466794396
Nduga,2022,51.862563948240535
Jayawijaya,2022,57.07870010415887
Lanny Jaya,2022,53.45465680561186
Tolikara,2022,54.75963465261132
Mamberamo Tengah,2022,51.9400999872916
Yalimo,2022,53.33730982158876
Yahukimo,2022,54.40729335654516
Pegunungan Bintang,2022,47.60600255869457
