kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Luwu,2020,102.12
Tana Toraja,2020,102.65
Luwu Utara,2020,93.63
Luwu Timur,2020,104.71
Toraja Utara,2020,98.75
Kota Makasar,2020,95.72
Kota Parepare,2020,93.76
Kota Palopo,2020,99.75
Buton,2020,106.17
Muna,2020,105.55
Konawe,2020,97.1
Kolaka,2020,93.71
Konawe Selatan,2020,92.5
Bombana,2020,96.63
Wakatobi,2020,108.17
Kolaka Utara,2020,97.79
Buton Utara,2020,108.82
Konawe Utara,2020,96.94
Kolaka Timur,2020,90.86
Konawe Kepulauan,2020,101.54
Muna Barat,2020,109.05
Buton Tengah,2020,107.46
Buton Selatan,2020,113.02
Kota Kendari,2020,90.25
Kota Baubau,2020,107.25
Boalemo,2020,97.01
Gorontalo,2020,92.67
Pohuwato,2020,94.33
Bone Bolango,2020,94.48
Gorontalo Utara,2020,94.81
Kota Gorontalo,2020,91.52
Majene,2020,86.42
Polewali Mandar,2020,82.6
Mamasa,2020,102.34
Mamuju,2020,87.54
Mamuju Utara / Pasangkayu,2020,92.82
Mamuju Tengah,2020,86.51
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,131.16
Maluku Tenggara,2020,128.79
Maluku Tengah,2020,115.29
Buru,2020,131.47
Kepulauan Aru,2020,130.73
Seram Bagian Barat,2020,111.88
Seram Bagian Timur,2020,115.33
Maluku Barat Daya,2020,131.14
Buru Selatan,2020,133.18
Kota Ambon,2020,110.2
Kota Tual,2020,132.56
Halmahera Barat,2020,113.88
Halmahera Tengah,2020,134.5
Kepulauan Sula,2020,129.16
Halmahera Selatan,2020,114.61
Halmahera Utara,2020,110.6
Halmahera Timur,2020,119.37
Pulau Morotai,2020,114.32
Pulau Taliabu,2020,130.81
Kota Ternate,2020,121.76
Kota Tidore Kepulauan,2020,118.58
Fakfak,2020,126.32
Kaimana,2020,123.48
Teluk Wondama,2020,127.67
Teluk Bintuni,2020,139.24
Manokwari,2020,120.92
Manokwari Selatan,2020,130.73
Pegunungan Arfak,2020,185.7
Raja Ampat,2020,125.22
Sorong,2020,119.93
Sorong Selatan,2020,128.36
Maybrat,2020,132.47
Tambrauw,2020,128.92
Kota Sorong,2020,109.25
Jayapura,2020,120.87
Kepulauan Yapen,2020,142.53
Biak Numfor,2020,129.53
Sarmi,2020,138.83
Keerom,2020,134.14
Waropen,2020,143.27
Supiori,2020,130.43
Mamberamo Raya,2020,184.27
Kota Jayapura,2020,120.2
Merauke,2020,150.93
Boven Digoel,2020,159.84
Mappi,2020,152.02
Asmat,2020,179.68
Mimika,2020,125.93
Dogiyai,2020,213.51
Deiyai,2020,229.01
Nabire,2020,138.7
Paniai,2020,229.51
Intan Jaya,2020,438.39
Puncak,2020,492.62
Puncak Jaya,2020,449.51
Nduga,2020,297.45
Jayawijaya,2020,295.03
Lanny Jaya,2020,317.27
Tolikara,2020,336.37
Mamberamo Tengah,2020,391.82
Yalimo,2020,349.27
Yahukimo,2020,192.81
Pegunungan Bintang,2020,356.01
Simeulue,2021,113.04
Aceh Singkil,2021,101.81
Aceh Selatan,2021,93.33
Aceh Tenggara,2021,97.87
Aceh Timur,2021,104.86
Aceh Tengah,2021,106.59
Aceh Barat,2021,92.47
Aceh Besar,2021,97.11
Pidie,2021,93.89
Bireuen,2021,100.3
Aceh Utara,2021,99.07
Aceh Barat Daya,2021,90.55
Gayo Lues,2021,103.35
Aceh Tamiang,2021,98.35
Nagan Raya,2021,96.24
Aceh Jaya,2021,93.51
Bener Meriah,2021,99.55
Pidie Jaya,2021,98.97
Kota Banda Aceh,2021,102.23
Kota Sabang,2021,107.15
Kota Langsa,2021,96.78
Kota Lhokseumawe,2021,103.46
Kota Subulussalam,2021,90.62
Nias,2021,108.77
Mandailing Natal,2021,97.04
Tapanuli Selatan,2021,99.33
Tapanuli Tengah,2021,102.09
Tapanuli Utara,2021,100.57
Toba Samosir / Toba,2021,101.31
Labuhan Batu,2021,101.44
Asahan,2021,95.88
Simalungun,2021,100.94
Dairi,2021,106.07
Karo,2021,103.23
Deli Serdang,2021,95.32
Langkat,2021,99.94
Nias Selatan,2021,116.98
Humbang Hasundutan,2021,100.58
Pakpak Bharat,2021,103.85
Samosir,2021,106.17
Serdang Bedagai,2021,98.12
Batu Bara,2021,97.32
Padang Lawas Utara,2021,96.93
Padang Lawas,2021,97.65
Labuhan Batu Selatan,2021,102.44
Labuhan Batu Utara,2021,102.37
Nias Utara,2021,110.69
Nias Barat,2021,111.92
Kota Sibolga,2021,107.74
Kota Tanjung Balai,2021,99.98
Kota Pematang Siantar,2021,94.97
Kota Tebing Tinggi,2021,98.34
Kota Medan,2021,99.62
Kota Binjai,2021,92.56
Kota Padangsidimpuan,2021,100.07
Kota Gunungsitoli,2021,108.04
Kepulauan Mentawai,2021,124.97
Pesisir Selatan,2021,92.63
Solok,2021,98.82
Sijunjung,2021,93.28
Tanah Datar,2021,93.59
Padang Pariaman,2021,86.53
Agam,2021,89
Lima Puluh Kota,2021,93.97
Pasaman,2021,88.39
Solok Selatan,2021,94.14
Dharmasraya,2021,98.02
Pasaman Barat,2021,96.01
Kota Padang,2021,93.31
Kota Solok,2021,92.44
Kota Sawah Lunto,2021,96.9
Kota Padang Panjang,2021,94.68
Kota Bukittinggi,2021,95.06
Kota Payakumbuh,2021,91.87
Kota Pariaman,2021,92.17
Kuantan Singingi,2021,85.78
Indragiri Hulu,2021,97.19
Indragiri Hilir,2021,90.68
