kabupaten,tahun,PDRB
Minahasa Selatan,2020,8780.26
Minahasa Utara,2020,14372.46
Bolaang Mongondow Utara,2020,2574.26
Siau Tagulandang Biaro,2020,2447.46
Minahasa Tenggara,2020,5213.52
Bolaang Mongondow Selatan,2020,2153.24
Bolaang Mongondow Timur,2020,3080.9
Kota Manado,2020,36618.4
Kota Bitung,2020,17085
Kota Tomohon,2020,4371.18
Kota Kotamobagu,2020,3791.27
Banggai Kepulauan,2020,3833.55
Banggai,2020,27360.88
Morowali,2020,62148.34
Poso,2020,9214.47
Donggala,2020,11737.41
Toli-Toli,2020,8320.82
Buol,2020,5637.53
Parigi Moutong,2020,17197.68
Tojo Una-Una,2020,5586.63
Sigi,2020,9029.08
Banggai Laut,2020,2372.48
Morowali Utara,2020,11160.86
Kota Palu,2020,24165.89
Kepulauan Selayar,2020,6392.74
Bulukumba,2020,14565.49
Bantaeng,2020,8970.48
Jeneponto,2020,10288.56
Takalar,2020,10220.31
Gowa,2020,21531.88
Sinjai,2020,11325.05
Maros,2020,18621.04
Pangkajene dan Kepulauan,2020,25662.55
Barru,2020,7432.3
Bone,2020,36560.64
Soppeng,2020,11382.12
Wajo,2020,19773.05
Sidenreng Rappang,2020,14073.43
Pinrang,2020,20083.01
Enrekang,2020,7528.64
Luwu,2020,16031.07
Tana Toraja,2020,7571.14
Luwu Utara,2020,13237.25
Luwu Timur,2020,21529.81
Toraja Utara,2020,9721.43
Kota Makasar,2020,178332.99
Kota Parepare,2020,7323.65
Kota Palopo,2020,8025.29
Buton,2020,3816.73
Muna,2020,6983.65
Konawe,2020,10362.23
Kolaka,2020,25622.95
Konawe Selatan,2020,11823.22
Bombana,2020,6559.65
Wakatobi,2020,4429.27
Kolaka Utara,2020,8835.24
Buton Utara,2020,3211.19
Konawe Utara,2020,3966.23
Kolaka Timur,2020,4496.34
Konawe Kepulauan,2020,1398.58
Muna Barat,2020,2618.03
Buton Tengah,2020,2428.67
Buton Selatan,2020,2874.73
Kota Kendari,2020,22045.7
Kota Baubau,2020,9075.85
Boalemo,2020,5490.26
Gorontalo,2020,13044.9
Pohuwato,2020,6736.1
Bone Bolango,2020,4648.78
Gorontalo Utara,2020,3429.39
Kota Gorontalo,2020,8535.98
Majene,2020,4986.82
Polewali Mandar,2020,13272.65
Mamasa,2020,2991.98
Mamuju,2020,11700.06
Mamuju Utara / Pasangkayu,2020,10287.41
Mamuju Tengah,2020,3213.4
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,2712.53
Maluku Tenggara,2020,3260.4
Maluku Tengah,2020,8719.17
Buru,2020,2424.73
Kepulauan Aru,2020,3503.74
Seram Bagian Barat,2020,3029.73
Seram Bagian Timur,2020,2914.08
Maluku Barat Daya,2020,1670.54
Buru Selatan,2020,1418.56
Kota Ambon,2020,14706.63
Kota Tual,2020,2491.34
Halmahera Barat,2020,2276.38
Halmahera Tengah,2020,3291.7
Kepulauan Sula,2020,2507.63
Halmahera Selatan,2020,8714.83
Halmahera Utara,2020,5689.64
Halmahera Timur,2020,3541.28
Pulau Morotai,2020,1572.46
Pulau Taliabu,2020,1481.43
Kota Ternate,2020,10480.2
Kota Tidore Kepulauan,2020,2939.57
Fakfak,2020,5200.93
Kaimana,2020,2699.4
Teluk Wondama,2020,1538.38
Teluk Bintuni,2020,31006.05
Manokwari,2020,9327.75
Sorong Selatan,2020,1859.61
Sorong,2020,10791.87
Raja Ampat,2020,2983.26
Tambrauw,2020,238.74
Maybrat,2020,732.07
Manokwari Selatan,2020,832.75
Pegunungan Arfak,2020,226.97
Kota Sorong,2020,15639.29
Merauke,2020,16026.18
Jayawijaya,2020,8255.38
Jayapura,2020,15974.73
Nabire,2020,11178.38
Kepulauan Yapen,2020,4150.23
Biak Numfor,2020,5223.67
Paniai,2020,4283.39
Puncak Jaya,2020,1387.23
Mimika,2020,63716.34
Boven Digoel,2020,4820.54
Mappi,2020,2991.71
Asmat,2020,2569.01
Yahukimo,2020,2504.26
Pegunungan Bintang,2020,1968.75
Tolikara,2020,1672.32
Sarmi,2020,2937.45
Keerom,2020,2925.04
Waropen,2020,2044.75
Supiori,2020,1042.05
Mamberamo Raya,2020,1722.34
Nduga,2020,1269.94
Lanny Jaya,2020,1930.04
Mamberamo Tengah,2020,1213.55
Yalimo,2020,1283.66
Puncak,2020,1438.05
Dogiyai,2020,1355.63
Intan Jaya,2020,1273.03
Deiyai,2020,1435.66
Kota Jayapura,2020,32019.13
Simeulue,2021,2460.29
Aceh Singkil,2021,2714.4
Aceh Selatan,2021,5969.85
Aceh Tenggara,2021,5421.59
Aceh Timur,2021,11697.83
Aceh Tengah,2021,8031.95
Aceh Barat,2021,9983.11
Aceh Besar,2021,14050.48
Pidie,2021,11341.39
Bireuen,2021,14079.53
Aceh Utara,2021,23242.91
Aceh Barat Daya,2021,4137.85
Gayo Lues,2021,2860.81
Aceh Tamiang,2021,8873.38
Nagan Raya,2021,9085.9
Aceh Jaya,2021,2859.09
Bener Meriah,2021,5006.64
Pidie Jaya,2021,3680.15
Kota Banda Aceh,2021,19943.96
Kota Sabang,2021,1601.32
Kota Langsa,2021,5765.49
Kota Lhokseumawe,2021,9431.39
Kota Subulussalam,2021,2110.95
Nias,2021,4221.86
Mandailing Natal,2021,14880.42
Tapanuli Selatan,2021,15471.45
Tapanuli Tengah,2021,10618.75
Tapanuli Utara,2021,8800.08
Toba Samosir / Toba,2021,8266.13
