Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Kota Tarakan,2020,6.24
Bolaang Mongondow,2020,7.27
Minahasa,2020,7.3
Kepulauan Sangihe,2020,11.14
Kepulauan Talaud,2020,9.49
Minahasa Selatan,2020,9.14
Minahasa Utara,2020,7
Bolaang Mongondow Utara,2020,8.41
Siau Tagulandang Biaro,2020,8.94
Minahasa Tenggara,2020,12.3
Bolaang Mongondow Selatan,2020,12.77
Bolaang Mongondow Timur,2020,5.88
Kota Manado,2020,5.86
Kota Bitung,2020,6.41
Kota Tomohon,2020,5.6
Kota Kotamobagu,2020,5.42
Banggai Kepulauan,2020,14.04
Banggai,2020,7.39
Morowali,2020,13.43
Poso,2020,15.45
Donggala,2020,17.39
Toli-Toli,2020,12.85
Buol,2020,13.93
Parigi Moutong,2020,15.85
Tojo Una-Una,2020,16.39
Sigi,2020,12.45
Banggai Laut,2020,14.6
Morowali Utara,2020,14.1
Kota Palu,2020,6.8
Kepulauan Selayar,2020,12.48
Bulukumba,2020,7.1
Bantaeng,2020,8.95
Jeneponto,2020,14.58
Takalar,2020,8.44
Gowa,2020,7.38
Sinjai,2020,9
Maros,2020,9.74
Pangkajene dan Kepulauan,2020,13.96
Barru,2020,8.26
Bone,2020,10.68
Soppeng,2020,7.59
Wajo,2020,6.95
Sidenreng Rappang,2020,5.05
Pinrang,2020,8.86
Enrekang,2020,12.17
Luwu,2020,12.65
Tana Toraja,2020,12.1
Luwu Utara,2020,13.41
Luwu Timur,2020,6.85
Toraja Utara,2020,12.01
Kota Makasar,2020,4.54
Kota Parepare,2020,5.44
Kota Palopo,2020,7.85
Buton,2020,13.21
Muna,2020,12.83
Konawe,2020,12.2
Kolaka,2020,11.63
Konawe Selatan,2020,10.74
Bombana,2020,10.01
Wakatobi,2020,14.31
Kolaka Utara,2020,12.96
Buton Utara,2020,14.1
Konawe Utara,2020,13.53
Kolaka Timur,2020,13.47
Konawe Kepulauan,2020,17.01
Muna Barat,2020,13.3
Buton Tengah,2020,15.32
Buton Selatan,2020,14.11
Kota Kendari,2020,4.34
Kota Baubau,2020,7.15
Boalemo,2020,18.57
Gorontalo,2020,17.56
Pohuwato,2020,17.62
Bone Bolango,2020,15.81
Gorontalo Utara,2020,16.88
Kota Gorontalo,2020,5.59
Majene,2020,13.73
Polewali Mandar,2020,15.26
Mamasa,2020,13.38
Mamuju,2020,6.92
Mamuju Utara / Pasangkayu,2020,4.48
Mamuju Tengah,2020,6.79
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,27.11
Maluku Tenggara,2020,22.57
Maluku Tengah,2020,19.83
Buru,2020,16.64
Kepulauan Aru,2020,26.26
Seram Bagian Barat,2020,25.11
Seram Bagian Timur,2020,23.04
Maluku Barat Daya,2020,29.15
Buru Selatan,2020,15.75
Kota Ambon,2020,4.51
Kota Tual,2020,22.51
Halmahera Barat,2020,8.82
