kabupaten,tahun,IPM
Ketapang,2021,67.43
Sintang,2021,66.93
Kapuas Hulu,2021,65.75
Sekadau,2021,64.93
Melawi,2021,65.87
Kayong Utara,2021,62.9
Kubu Raya,2021,68.16
Kota Pontianak,2021,79.93
Kota Singkawang,2021,72.11
Kotawaringin Barat,2021,73.07
Kotawaringin Timur,2021,71.38
Kapuas,2021,69.63
Barito Selatan,2021,70.54
Barito Utara,2021,70.79
Sukamara,2021,68.27
Lamandau,2021,70.58
Seruyan,2021,67.67
Katingan,2021,68.89
Pulang Pisau,2021,68.53
Gunung Mas,2021,71.03
Barito Timur,2021,71.47
Murung Raya,2021,68.12
Kota Palangka Raya,2021,80.82
Tanah Laut,2021,69.87
Kotabaru,2021,69.13
Banjar,2021,69.89
Barito Kuala,2021,66.64
Tapin,2021,70.31
Hulu Sungai Selatan,2021,69.21
Hulu Sungai Tengah,2021,69.05
Hulu Sungai Utara,2021,66.12
Tabalong,2021,72.6
Tanah Bumbu,2021,71
Balangan,2021,69.11
Kota Banjarmasin,2021,77.57
Kota Banjar Baru,2021,79.26
Paser,2021,72.93
Kutai Barat,2021,72.07
Kutai Kartanegara,2021,74.06
Kutai Timur,2021,73.81
Berau,2021,75.2
Penajam Paser Utara,2021,72.01
Mahakam Ulu,2021,67.95
Kota Balikpapan,2021,80.71
Kota Samarinda,2021,80.76
Kota Bontang,2021,80.59
Malinau,2021,72.32
Bulungan,2021,71.8
Tana Tidung,2021,67.76
Nunukan,2021,66.46
Kota Tarakan,2021,76.23
Bolaang Mongondow,2021,68.16
Minahasa,2021,75.73
Kepulauan Sangihe,2021,71.07
Kepulauan Talaud,2021,69.83
Minahasa Selatan,2021,72.32
Minahasa Utara,2021,74.11
Bolaang Mongondow Utara,2021,67.39
Siau Tagulandang Biaro,2021,68.05
Minahasa Tenggara,2021,71.06
Bolaang Mongondow Selatan,2021,65.42
Bolaang Mongondow Timur,2021,66.55
Kota Manado,2021,79.2
Kota Bitung,2021,74.2
Kota Tomohon,2021,76.86
Kota Kotamobagu,2021,73.47
Banggai Kepulauan,2021,65.61
Banggai,2021,70.6
Morowali,2021,72.29
Poso,2021,71.45
Donggala,2021,65.72
Toli-Toli,2021,66.3
Buol,2021,68.25
Parigi Moutong,2021,65.82
Tojo Una-Una,2021,64.74
Sigi,2021,68.49
Banggai Laut,2021,65.65
Morowali Utara,2021,68.48
Kota Palu,2021,81.7
Kepulauan Selayar,2021,67.76
Bulukumba,2021,69.62
Bantaeng,2021,68.99
Jeneponto,2021,64.56
Takalar,2021,67.72
Gowa,2021,70.29
Sinjai,2021,67.75
Maros,2021,70.41
Pangkajene dan Kepulauan,2021,69.21
Barru,2021,71.13
Bone,2021,66.4
Soppeng,2021,68.99
Wajo,2021,69.62
Sidenreng Rappang,2021,71.54
Pinrang,2021,71.45
Enrekang,2021,72.91
Luwu,2021,70.85
Tana Toraja,2021,69.49
Luwu Utara,2021,70.02
Luwu Timur,2021,73.34
Toraja Utara,2021,69.75
Kota Makasar,2021,82.66
Kota Parepare,2021,78.21
Kota Palopo,2021,78.38
Buton,2021,66.32
Muna,2021,69.17
Konawe,2021,71.48
Kolaka,2021,73.56
Konawe Selatan,2021,68.58
