Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Maluku Barat Daya,2020,36.29
Buru Selatan,2020,47.8
Kota Ambon,2020,22.19
Kota Tual,2020,28.96
Halmahera Barat,2020,39.54
Halmahera Tengah,2020,31.64
Kepulauan Sula,2020,43.47
Halmahera Selatan,2020,39.1
Halmahera Utara,2020,38.21
Halmahera Timur,2020,39.89
Pulau Morotai,2020,38.76
Pulau Taliabu,2020,44.39
Kota Ternate,2020,21.78
Kota Tidore Kepulauan,2020,29.47
Fakfak,2020,20.7
Kaimana,2020,24.47
Teluk Wondama,2020,13.3
Teluk Bintuni,2020,20.13
Manokwari,2020,20.9
Manokwari Selatan,2020,20.77
Pegunungan Arfak,2020,58.55
Raja Ampat,2020,22.32
Sorong,2020,27.72
Sorong Selatan,2020,28.23
Maybrat,2020,25.91
Tambrauw,2020,36.38
Kota Sorong,2020,18.93
Jayapura,2020,32.14
Kepulauan Yapen,2020,33.46
Biak Numfor,2020,30.61
Sarmi,2020,38.54
Keerom,2020,51.33
Waropen,2020,17.37
Supiori,2020,21.22
Mamberamo Raya,2020,47.87
Kota Jayapura,2020,14.99
Merauke,2020,20.21
Boven Digoel,2020,34.44
Mappi,2020,45.62
Asmat,2020,39.36
Mimika,2020,23.02
Dogiyai,2020,72.2
Deiyai,2020,33.49
Nabire,2020,21.73
Paniai,2020,45.39
Intan Jaya,2020,27.86
Puncak,2020,41.01
Puncak Jaya,2020,20.86
Nduga,2020,17.51
Jayawijaya,2020,32.86
Lanny Jaya,2020,24.81
Tolikara,2020,38.37
Mamberamo Tengah,2020,35.51
Yalimo,2020,22.28
Yahukimo,2020,39.28
Pegunungan Bintang,2020,33.05
Simeulue,2021,12.43
Aceh Singkil,2021,6.37
Aceh Selatan,2021,7.81
Aceh Tenggara,2021,6.75
Aceh Timur,2021,7.2
Aceh Tengah,2021,5.46
Aceh Barat,2021,4.09
Aceh Besar,2021,5.91
Pidie,2021,6.16
Bireuen,2021,6.56
Aceh Utara,2021,11.71
Aceh Barat Daya,2021,7.99
Gayo Lues,2021,3.18
Aceh Tamiang,2021,9.29
Nagan Raya,2021,4.75
Aceh Jaya,2021,6.38
Bener Meriah,2021,7.01
Pidie Jaya,2021,4.82
Kota Banda Aceh,2021,2.75
Kota Sabang,2021,4.26
Kota Langsa,2021,4.93
Kota Lhokseumawe,2021,4.05
Kota Subulussalam,2021,6.76
Nias,2021,7
Mandailing Natal,2021,7.25
Tapanuli Selatan,2021,7.02
Tapanuli Tengah,2021,5.95
Tapanuli Utara,2021,5.74
Toba Samosir / Toba,2021,4.16
Labuhan Batu,2021,5.99
Asahan,2021,6.33
Simalungun,2021,7.58
Dairi,2021,6.01
Karo,2021,3.78
Deli Serdang,2021,6.54
Langkat,2021,7.96
Nias Selatan,2021,8.51
Humbang Hasundutan,2021,6.27
Pakpak Bharat,2021,4.75
Samosir,2021,5.01
Serdang Bedagai,2021,7.58
Batu Bara,2021,6.88
Padang Lawas Utara,2021,4.89
Padang Lawas,2021,3.89
Labuhan Batu Selatan,2021,4.54
Labuhan Batu Utara,2021,5.52
Nias Utara,2021,8.17
Nias Barat,2021,8.52
Kota Sibolga,2021,5.33
Kota Tanjung Balai,2021,5.15
Kota Pematang Siantar,2021,6.62
Kota Tebing Tinggi,2021,7.19
Kota Medan,2021,4.94
Kota Binjai,2021,7.62
Kota Padangsidimpuan,2021,5.35
Kota Gunungsitoli,2021,6.09
Kepulauan Mentawai,2021,8.36
Pesisir Selatan,2021,6.23
Solok,2021,6.5
Sijunjung,2021,6.01
Tanah Datar,2021,6.8
Padang Pariaman,2021,5.61
Agam,2021,6.77
Lima Puluh Kota,2021,6.36
Pasaman,2021,7.11
Solok Selatan,2021,5.17
Dharmasraya,2021,6.03
Pasaman Barat,2021,6.13
Kota Padang,2021,5
Kota Solok,2021,5.84
Kota Sawah Lunto,2021,6.15
Kota Padang Panjang,2021,6.4
Kota Bukittinggi,2021,3.86
Kota Payakumbuh,2021,5.09
Kota Pariaman,2021,5.29
Kuantan Singingi,2021,9.02
Indragiri Hulu,2021,10.8
Indragiri Hilir,2021,14.1
Pelalawan,2021,9.08
Siak,2021,8.75
Kampar,2021,10.52
Rokan Hulu,2021,9.78
Bengkalis,2021,12
Rokan Hilir,2021,10.19
Kepulauan Meranti,2021,14.51
Kota Pekanbaru,2021,10.11
Kota Dumai,2021,9.59
Kerinci,2021,10.3
Merangin,2021,11.91
Sarolangun,2021,8.82
Batang Hari,2021,9.98
Muaro Jambi,2021,8.54
Tanjung Jabung Timur,2021,8.37
Tanjung Jabung Barat,2021,9.66
Tebo,2021,10.25
Bungo,2021,8.33
Kota Jambi,2021,7.25
Kota Sungai Penuh,2021,10.4
Ogan Komering Ulu,2021,6.91
Ogan Komering Ilir,2021,5.34
Muara Enim,2021,5.73
Lahat,2021,7.62
Musi Rawas,2021,7.12
Musi Banyuasin,2021,4.95
Banyu Asin,2021,5.56
Ogan Komering Ulu Selatan,2021,9.44
Ogan Komering Ulu Timur,2021,5.74
Ogan Ilir,2021,6.48
Empat Lawang,2021,10.15
Penukal Abab Lematang Ilir,2021,7.96
Musi Rawas Utara,2021,5.55
Kota Palembang,2021,7
Kota Prabumulih,2021,13.36
Kota Pagar Alam,2021,11.76
Kota Lubuklinggau,2021,9.24
Bengkulu Selatan,2021,8.25
Rejang Lebong,2021,11.27
Bengkulu Utara,2021,6.68
Kaur,2021,7.01
Seluma,2021,7.97
Mukomuko,2021,5
Lebong,2021,9.51
Kepahiang,2021,11.3
Bengkulu Tengah,2021,6
Kota Bengkulu,2021,11.11
Lampung Barat,2021,8.63
Tanggamus,2021,11.76
Lampung Selatan,2021,8.79
Lampung Timur,2021,11.79
